,Name,Latitude,Longitude,Type,WaterArea,BlueFlag
9,Ved Kongelundskroen,"55,56278059475752","12,56134220358073",Badevandsstation,Køge Bugt,False
10,Amager Sydstrand,"55,58107234553681","12,658562241276446",Badevandsstation,Køge Bugt,False
11,Dragør Nordstrand,"55,6034555531332","12,673227748026212",Badevandsstation,Nordlige Øresund,False
12,"Dragør Søbad, Syd","55,58665573485622","12,675403549796474",Badevandsstation,Mangler,False
13,Søvang,"55,56501192136597","12,621983729910687",Badevandsstation,Køge Bugt,False
14,"Dragør søbad, nord","55,58702896235373","12,675851272827456",Badevandsstation,Køge Bugt,False
22,Hellerup Strand,"55,73263178861659","12,582466140588627",Badevandsstation,Nordlige Øresund,False
23,Skovshoved Syd,"55,757942420660335","12,599509939936606",Badevandsstation,Nordlige Øresund,False
25,Charlottenlund Strandpark,"55,74361092450652","12,58800020904251",Badevandsstation,Nordlige Øresund,False
26,Bellevue strand,"55,77668612950274","12,592493982366353",Badevandsstation,Nordlige Øresund,False
27,Skovshoved Havbad,"55,76357011803029","12,602211008096978",Badevandsstation,Nordlige Øresund,False
28,Charlottenlund badeanstalt,"55,74924661194281","12,591148579336323",Badevandsstation,North-east Atlantic Ocean,False
32,Syd for Kastrup Lystbådehavn,"55,64042268518959","12,653669704980267",Badevandsstation,Nordlige Øresund,False
33,Scanport badestation,"55,637046153925986","12,656759502800412",Badevandsstation,Nordlige Øresund,False
37,"Kastrup Søbad, nord for Kastrup lystbådehavn","55,64545531901956","12,649543574382358",Badevandsstation,Nordlige Øresund,False
39,Kastrup søbad,"55,633402568810006","12,656894110974772",Badevandsstation,Mangler,False
1988,Lodsparken,"55,62734519990664","12,502265612848722",Badevandsstation,Kalveboderne,False
1990,Mørtelrenden,"55,62875482640816","12,503579982433282",Badevandsstation,Kalveboderne,False
1991,Hvidovre Havn,"55,62547529065108","12,503528533039788",Badevandsstation,Kalveboderne,False
2022,"Amager Strandpark, Lagunen","55,657922417142586","12,640032256927283",Badevandsstation,Øresund,False
2023,Stranden ved Valbyparken,"55,6372329068556","12,524962403312879",Badevandsstation,Mangler,False
2024,Vandtrappen Badezone,"55,64788784310548","12,546823560128423",Badevandsstation,Københavns Havn,False
2026,Byskoven Badezone,"55,62187078007546","12,52322848575085",Badevandsstation,,False
2029,"Nordhavn, havsvømmebane","55,72299786047034","12,609590964373732",Badevandsstation,Københavns Havn,False
2032,Svanemøllestranden,"55,71992178705187","12,584471299867506",Badevandsstation,Øresund,False
2033,Stubkaj,"55,70917279026226","12,595048212650582",Badevandsstation,Københavns Havn,False
2034,Teglholm Brygge Badezone,"55,65141733834468","12,545755643210983",Badevandsstation,Københavns Havn,False
2035,Søndre Refshale Badezone,"55,690162608075084","12,608567217749624",Badevandsstation,Københavns Havn,False
2037,Halvandet Badezone,"55,69519715081318","12,608904204524423",Badevandsstation,Københavns Havn,False
2038,Halfdansgade Badezone,"55,66614080858703","12,574647983071321",Badevandsstation,København Havn,False
2040,Havnegade Badezone,"55,67819668336113","12,592806916387461",Badevandsstation,Københavns Havn,False
2041,Kalvebod Bølge Badezone,"55,66909722819186","12,576254239086913",Badevandsstation,Københavns Havn,False
2042,Fisketorvet Havnebad,"55,66268531286016","12,563929485293775",Badevandsstation,København Havn,False
2044,Havnevigen Badezone,"55,65454210496223","12,565669769620461",Badevandsstation,Københavns Havn,False
2049,"Amager Strandpark, Øresund","55,65853567572035","12,644511036377196",Badevandsstation,Øresund,False
2050,Sandkaj Badezone,"55,70660213213731","12,597773946753037",Badevandsstation,København Havn,False
2052,Islands Brygge Havnebad,"55,668708300868346","12,577873308626224",Badevandsstation,København Havn,False
2055,Helgoland,"55,659877874609634","12,642615803514312",Badevandsstation,Mangler,False
2059,Nordhavn Havsvømmebane,"55,7227431158118","12,60999759255535",Badevandsstation,Nordlige Øresund,False
2061, La Banchina Badezone,"55,68929","12,61064",Badevandsstation,Københavns Havn,False
2062,Helgoland,"55,66509057139371","12,640284795428553",Badevandsstation,Mangler,False
2063,Sluseholmen Havnebad,"55,64652051044792","12,553936974075146",Badevandsstation,København Havn,False
